,force,damage,extra,radiant,bludgeoning,psychic,piercing,lightning,nonmagical,slashing,cold,necrotic,poison,acid,fire,thunder
Average Damage m,4.328201109,2.145933014,1,3.226014398,3.852434914,3.085903084,3.80680138,3.588709677,3.588709677,5.188297872,3.900946815,4.271005044,3.510189573,3.865677538,4.068002147,2.885514019
Average Damage c,2.52740608,3.454545455,1.5,2.763056283,1.240228071,4.632023043,-0.432232627,5.112903226,5.112903226,-1.635106383,2.606392136,1.300836511,4.172274882,2.882710782,0.739947297,5.968981631
Sigma m,0.701065,-0.053348485,-0.041654545,0.527805388,0.430600902,0.523042654,0.583065657,0.627005455,0.627005455,0.562387879,0.539065165,0.615541898,0.574186162,0.484972138,0.584167697,0.544446869
Sigma c,1.280819286,1.624818182,0.416545455,1.459230366,2.282643761,1.452711863,1.043554545,1.064485455,1.064485455,0.536054545,1.541754324,1.350735811,1.916090606,1.286216768,1.281562313,1.858302424
A m,0.212572879,-0.020506061,-0.014254546,0.200140859,0.148188925,0.21792588,0.228767677,0.311911515,0.311911515,0.406030303,0.239713829,0.234958887,0.210496263,0.277974714,0.273753346,0.191967677
A c,0.643830654,0.763727273,0.142545457,0.619508636,0.976595274,0.634640563,0.468045455,0.268658182,0.268658182,0.348430303,0.593082487,0.559268834,0.598845153,0.70464101,0.280498132,0.666032121
